http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=49,"Hazardous Materials Information Review Commission","Ryan/Smith Graphics",1100973952,2009-06-15,"20th Anniversary Report Design","2009/06/15 to 2009/09/30",,13904.63,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=33,"Hazardous Materials Information Review Commission","Hewlett Packard (Canada) - Telecom Computers",1100935497,2009-02-20,"Acquisition of new computers",2/20/2009,,30021.84,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=34,"Hazardous Materials Information Review Commission","The Portables",1100939002,2009-02-26,"Fabrication of new Fabric Display System","2009/02/26 to 2009/03/31",,14000.00,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=35,"Hazardous Materials Information Review Commission","Altis SPR",1100895280,2008-09-25,"Temporary help","2008/09/25 to 2009/03/24",,88696.14,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=36,"Hazardous Materials Information Review Commission","Ascribe Marketing Communications",1100926111,2009-02-19,"Writing, Editing and Proofreading Services","2009/02/19 to 2009/03/31",,15000.00,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=37,"Hazardous Materials Information Review Commission","Steelcase Canada - Capital Office Interiors",1100935953,2009-02-16,"Acquisition of new Office Chairs",2/16/2009,,12686.00,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=38,"Hazardous Materials Information Review Commission",Insight,1100887618,2009-02-25,"Software Acquisition",2/25/2009,,18364.50,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=24,"Hazardous Materials Information Review Commission","Cistel Technology",1100890428-1,2008-09-08,"It Database Management","2008/08/09 to 2009/03/31",,119665.35,"Amendment to Original contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=25,"Hazardous Materials Information Review Commission","Excel Human Resources",1100886445,2008-08-25,"Temporary help - Admin services","2008/08/25 to 2009/03/31",,36861.14,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=26,"Hazardous Materials Information Review Commission","Excel Human Resources",1100917816,2008-12-08,"Temporary help - Receptionist","2008/12/08 to 2009/03/31",,11533.09,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=27,"Hazardous Materials Information Review Commission","Dynamic Personnel Consultants",1100870384,2008-06-23,"Temporary help - Admin Services","2008/06/23 to 2008/12/31",,24605.60,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=28,"Hazardous Materials Information Review Commission","TNS Canadian Facts",1100918375,2008-12-12,"Client Satisfaction Survey","2008/12/12 to 2009/03/31",,24184.28,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=29,"Hazardous Materials Information Review Commission","Naut&#39;sa Mawt Resources Group",1100857128-1,2008-05-05,"Human Resource Consultant","2008/05/05 to 2009/03/31",,36750.00,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=30,"Hazardous Materials Information Review Commission","Accurate Design and Communication",1100873377,2008-06-21,"Graphic Design and Production","2008/06/21 to 2008/09/04",,17136.00,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=31,"Hazardous Materials Information Review Commission","Altis SPR",1100864555,2008-06-02,"Temporary help","2008/06/02 to 2009/03/31",,62370.00,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=32,"Hazardous Materials Information Review Commission","Le Groupe-conseil Baastel lt&eacute;e",1100851412-1,2008-04-16,"Translation Services","2008/04/16 to 2009/03/31",,14999.99,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=22,"Hazardous Materials Information Review Commission","Cistel Technology",1100890428,2008-09-08,"IT Database Management","08/09/2008 - 31/03/2009",,83349.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=23,"Hazardous Materials Information Review Commission",Altis,1100895280,2008-09-25,"Temporary Help","25/09/2008 - 30/11/2008",,14883.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=19,"Hazardous Materials Information Review Commission","Society Ardeen Inc.",1100849767,2008-06-02,Translation,"01/06/2008 - 31/03/2009",,24999.99,
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=20,"Hazardous Materials Information Review Commission","Intersol Group",1100880056,2008-07-25,"Strategic Planning","25/07/2008 - 30/11/2008",,21656.25,
